variant,split,scope,metric,n_samples,n_patches,mean,std,median,q25,q75,iqr,min,max,n_negative
baseline-short,val,bucket_3,ged_ys,8,526,0.7030968070030212,0.07108163833618164,0.7105708122253418,0.661113515496254,0.75,0.08888648450374603,0.4519924521446228,0.90625,0
baseline-short,val,bucket_3,ged_ss,8,526,0.5244819521903992,0.15604452788829803,0.5681717395782471,0.4837900474667549,0.6345787197351456,0.15078867226839066,0.0,0.737856388092041,0
baseline-short,val,bucket_3,ged_yy,8,526,0.5250439047813416,0.06222116947174072,0.5144747495651245,0.4831572696566582,0.5604564249515533,0.07729915529489517,0.3935697376728058,0.7271875143051147,0
baseline-short,val,bucket_3,oracle_dice,8,526,0.5404471755027771,0.1351722776889801,0.5814257860183716,0.4853547438979149,0.6394054591655731,0.15405071526765823,0.25,0.7219424843788147,0
baseline-short,val,bucket_3,oracle_dice_per_grader,8,526,0.7787852883338928,0.19127583503723145,0.8506342172622681,0.7440560162067413,0.9029145985841751,0.15885858237743378,0.25,0.9719424843788147,0
baseline-short,val,bucket_3,random_sample_dice,8,526,0.3431980609893799,0.08658940345048904,0.3387276232242584,0.285891592502594,0.39766647666692734,0.11177488416433334,0.09375,0.6248538494110107,0
baseline-short,val,bucket_3,hungarian_iou,8,526,0.6320924758911133,0.1871064156293869,0.6638827919960022,0.5200430899858475,0.7839043289422989,0.2638612389564514,0.25,0.943078875541687,0
baseline-short,val,bucket_3,emptiest_sample_dice,8,526,0.24870073795318604,0.023963747546076775,0.25,0.25,0.25,0.0,0.0,0.5038226842880249,0
baseline-short,val,bucket_3,ged,16,526,0.32171913981437683,0.19424283504486084,0.2735275626182556,0.1715128868818283,0.4228105992078781,0.2512977123260498,0.049945324659347534,0.9917123317718506,0
baseline-short,val,bucket_3,ged_ys,16,526,0.7019774913787842,0.06576431542634964,0.7086019515991211,0.6606701016426086,0.7426557242870331,0.08198562264442444,0.4848140478134155,0.8975054025650024,0
baseline-short,val,bucket_3,ged_ss,16,526,0.557191789150238,0.14021436870098114,0.5979424715042114,0.5142713487148285,0.6514959931373596,0.13722464442253113,0.0,0.7535527944564819,0
baseline-short,val,bucket_3,ged_yy,16,526,0.5250439047813416,0.06222116947174072,0.5144747495651245,0.4831572696566582,0.5604564249515533,0.07729915529489517,0.3935697376728058,0.7271875143051147,0
baseline-short,val,bucket_3,oracle_dice,16,526,0.5637536644935608,0.12625502049922943,0.6044498682022095,0.5236451774835587,0.6500212103128433,0.12637603282928467,0.25,0.7270605564117432,0
baseline-short,val,bucket_3,oracle_dice_per_grader,16,526,0.8188290596008301,0.17190292477607727,0.8763926029205322,0.8109918534755707,0.9183486253023148,0.10735677182674408,0.25,0.9770605564117432,0
baseline-short,val,bucket_3,random_sample_dice,16,526,0.3440989553928375,0.08021828532218933,0.341375470161438,0.29562119394540787,0.3954024612903595,0.09978126734495163,0.109375,0.592387855052948,0
baseline-short,val,bucket_3,hungarian_iou,16,526,0.7188940644264221,0.17679773271083832,0.7696342468261719,0.6587591469287872,0.8442394584417343,0.18548031151294708,0.25,0.9500912427902222,0
baseline-short,val,bucket_3,emptiest_sample_dice,16,526,0.24982960522174835,0.008048124611377716,0.25,0.25,0.25,0.0,0.145899698138237,0.36481302976608276,0
baseline-short,val,bucket_3,empty_ged,,526,0.9749560952186584,0.06222116947174072,0.9855252504348755,0.9395435750484467,1.0168427228927612,0.07729914784431458,0.7728124856948853,1.1064302921295166,0
baseline-short,val,bucket_3,empty_dice,,526,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0
baseline-short,val,bucket_3,empty_oracle_dice,,526,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0
baseline-short,val,bucket_3,empty_hungarian_iou,,526,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
baseline-short,val,bucket_4,ged,1,950,1.157934546470642,0.6102684140205383,1.290785551071167,0.543618232011795,1.7410333752632141,1.197415143251419,0.06625638157129288,1.9478259086608887,0
baseline-short,val,bucket_4,ged_ys,1,950,0.6986077427864075,0.3142959177494049,0.7839043140411377,0.38978373259305954,1.0,0.6102162674069405,0.07143792510032654,1.0,0
baseline-short,val,bucket_4,ged_ss,1,950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
baseline-short,val,bucket_4,ged_yy,1,950,0.23928093910217285,0.10614533722400665,0.22221943736076355,0.16038966178894043,0.30171801894903183,0.1413283571600914,0.04095947742462158,0.6224359273910522,0
baseline-short,val,bucket_4,oracle_dice,1,950,0.37243491411209106,0.36651965975761414,0.3525983989238739,0.0,0.7523398995399475,0.7523398995399475,0.0,0.962845504283905,0
baseline-short,val,bucket_4,oracle_dice_per_grader,1,950,0.37243491411209106,0.36651965975761414,0.3525983989238739,0.0,0.7523398995399475,0.7523398995399475,0.0,0.962845504283905,0
